name,height,weight,reach,stance,age,dob,wins,losses,draws,height,weight,reach,str_landed_per_min,str_acc,str_absorb_per_min,str_def,td_avg,td_acc,td_def,sub_avg,win_percentage
Aalon Cruz,1.83,145.0,1.98,Switch,30.44,1989-09-20,8,3,0,1.83,145.0,1.98,1.41,0.17,20.42,0.76,0.0,0.0,0.0,0.0,0.73
Aaron Brink,1.91,205.0,1.91,Orthodox,26.02,1974-11-12,25,21,0,1.91,205.0,1.91,0.0,0.0,2.17,0.5,0.0,0.0,1.0,0.0,0.54
Aaron Phillips,1.75,135.0,1.78,Southpaw,25.05,1989-08-05,8,2,0,1.75,135.0,1.78,11.3,0.81,7.17,0.71,0.0,0.0,0.65,0.5,0.8
Aaron Riley,1.73,155.0,1.75,Southpaw,32.63,1980-12-09,29,14,1,1.73,155.0,1.75,5.6,0.47,4.86,0.47,1.26,0.33,0.25,0.0,0.66
Aaron Rosa,1.93,205.0,1.98,Orthodox,28.76,1983-05-28,17,5,0,1.93,205.0,1.98,14.25,0.68,9.45,0.63,0.0,0.0,0.14,0.0,0.77
Aaron Simpson,1.83,170.0,1.85,Orthodox,38.21,1974-07-20,11,4,0,1.83,170.0,1.85,6.29,0.67,3.04,0.53,2.06,0.26,0.17,0.69,0.73
Abdul Razak Alhassan,1.78,170.0,1.85,Orthodox,33.08,1985-08-11,10,1,0,1.78,170.0,1.85,5.05,0.49,6.27,0.48,0.61,0.33,0.5,0.0,0.91
Abdul-Kerim Edilov,1.88,205.0,1.98,Orthodox,25.77,1991-11-25,17,4,0,1.88,205.0,1.98,19.92,0.71,0.93,0.33,3.98,1.0,0.0,1.99,0.81
Abel Trujillo,1.73,155.0,1.78,Orthodox,34.25,1983-09-18,15,8,0,1.73,155.0,1.78,2.4,0.45,3.05,0.48,1.64,0.31,0.46,0.33,0.65
Abu Azaitar,1.75,185.0,1.93,Orthodox,32.37,1986-03-10,14,1,1,1.75,185.0,1.93,9.0,0.6,4.2,0.69,1.0,1.0,0.75,0.0,0.88
Abubakar Nurmagomedov,1.8,170.0,1.83,Orthodox,29.99,1989-11-13,15,3,1,1.8,170.0,1.83,7.77,0.65,8.83,0.74,5.3,1.0,0.0,0.0,0.79
Adam Cella,1.88,170.0,1.98,0,27.78,1985-06-26,4,2,0,1.88,170.0,1.98,1.26,0.29,5.03,0.7,0.0,0.0,1.0,0.0,0.67
Adam Milstead,1.91,205.0,1.93,Orthodox,31.45,1987-07-03,8,3,0,1.91,205.0,1.93,4.73,0.51,10.16,0.68,0.0,0.0,0.36,0.0,0.73
Adam Wieczorek,1.96,250.0,2.06,Orthodox,26.74,1992-02-05,10,2,0,1.96,250.0,2.06,3.19,0.53,4.22,0.63,0.41,0.33,0.41,0.41,0.83
Adam Yandiev,1.75,185.0,1.88,Orthodox,30.11,1988-08-07,9,1,0,1.75,185.0,1.88,0.18,0.08,9.65,0.67,0.0,0.0,0.75,0.0,0.9
Adlan Amagov,1.88,170.0,1.93,Orthodox,26.97,1986-10-30,13,2,1,1.88,170.0,1.93,4.44,0.53,1.56,0.33,5.0,0.55,0.0,0.0,0.81
Adrian Serrano,1.73,170.0,1.73,0,36.46,1963-12-23,56,29,4,1.73,170.0,1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63
Adriano Martins,1.78,155.0,1.83,Southpaw,34.73,1982-12-16,28,9,0,1.78,155.0,1.83,2.98,0.61,2.31,0.45,0.69,1.0,0.33,1.04,0.76
Adriano Santos,0.0,0.0,0.0,0,18.74,1980-01-19,0,1,0,1.85,185.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aiemann Zahabi,1.73,135.0,1.73,Orthodox,31.46,1987-11-19,7,2,0,1.73,135.0,1.73,2.88,0.4,4.22,0.36,0.36,0.17,0.28,0.0,0.78
Aisling Daly,1.57,115.0,1.63,0,27.83,1987-12-24,16,6,0,1.57,115.0,1.63,7.2,0.7,6.27,0.72,2.0,0.4,0.6,0.5,0.73
Akbarh Arreola,1.78,155.0,1.8,Southpaw,32.83,1983-01-14,23,10,1,1.78,155.0,1.8,3.75,0.56,6.69,0.54,1.07,1.0,0.67,0.36,0.68
Akihiro Gono,1.7,170.0,1.73,Switch,34.32,1974-10-07,32,16,7,1.7,170.0,1.73,3.0,0.58,6.97,0.55,1.57,0.8,0.57,0.39,0.58
Akira Corassani,1.73,145.0,1.73,Orthodox,32.41,1982-08-27,14,7,0,1.73,145.0,1.73,3.64,0.48,6.9,0.57,0.71,0.29,0.07,0.0,0.67
Al Iaquinta,1.78,155.0,1.78,Orthodox,32.43,1987-04-30,14,6,1,1.78,155.0,1.78,3.23,0.4,5.9,0.43,0.0,0.0,0.43,0.0,0.67
