height_x,weight_x,reach_x,kds_sum_x,sub_att_sum_x,pass_sum_x,rev_sum_x,tds_succ_sum_x,tds_att_sum_x,tot_str_succ_sum_x,tot_str_att_sum_x,sig_str_head_succ_sum_x,sig_str_head_att_sum_x,sig_str_body_succ_sum_x,sig_str_body_att_sum_x,sig_str_leg_succ_sum_x,sig_str_leg_att_sum_x,sig_str_dist_succ_sum_x,sig_str_dist_att_sum_x,sig_str_clinch_succ_sum_x,sig_str_clinch_att_sum_x,sig_str_ground_succ_sum_x,sig_str_ground_att_sum_x,fight_time_sum_x,kds_per_min_x,sub_att_per_min_x,pass_per_min_x,rev_per_min_x,tds_acc_x,tds_succ_per_min_x,tds_att_per_min_x,tot_str_acc_x,tot_str_succ_per_min_x,tot_str_att_per_min_x,sig_str_head_acc_x,sig_str_head_succ_per_min_x,sig_str_head_att_per_min_x,sig_str_body_acc_x,sig_str_body_succ_per_min_x,sig_str_body_att_per_min_x,sig_str_leg_acc_x,sig_str_leg_succ_per_min_x,sig_str_leg_att_per_min_x,sig_str_dist_acc_x,sig_str_dist_succ_per_min_x,sig_str_dist_att_per_min_x,sig_str_clinch_acc_x,sig_str_clinch_succ_per_min_x,sig_str_clinch_att_per_min_x,sig_str_ground_acc_x,sig_str_ground_succ_per_min_x,sig_str_ground_att_per_min_x,age_x,ufc_wins_x,ufc_losses_x,ufc_draws_x,weightclass_Bantamweight_x,weightclass_Catch Weight_x,weightclass_Featherweight_x,weightclass_Flyweight_x,weightclass_Heavyweight_x,weightclass_Light Heavyweight_x,weightclass_Lightweight_x,weightclass_Middleweight_x,weightclass_Open Weight_x,weightclass_Strawweight_x,weightclass_Super Heavyweight_x,weightclass_Welterweight_x,stance_Open Stance_x,stance_Orthodox_x,stance_Sideways_x,stance_Southpaw_x,stance_Switch_x,height_y,weight_y,reach_y,kds_sum_y,sub_att_sum_y,pass_sum_y,rev_sum_y,tds_succ_sum_y,tds_att_sum_y,tot_str_succ_sum_y,tot_str_att_sum_y,sig_str_head_succ_sum_y,sig_str_head_att_sum_y,sig_str_body_succ_sum_y,sig_str_body_att_sum_y,sig_str_leg_succ_sum_y,sig_str_leg_att_sum_y,sig_str_dist_succ_sum_y,sig_str_dist_att_sum_y,sig_str_clinch_succ_sum_y,sig_str_clinch_att_sum_y,sig_str_ground_succ_sum_y,sig_str_ground_att_sum_y,fight_time_sum_y,kds_per_min_y,sub_att_per_min_y,pass_per_min_y,rev_per_min_y,tds_acc_y,tds_succ_per_min_y,tds_att_per_min_y,tot_str_acc_y,tot_str_succ_per_min_y,tot_str_att_per_min_y,sig_str_head_acc_y,sig_str_head_succ_per_min_y,sig_str_head_att_per_min_y,sig_str_body_acc_y,sig_str_body_succ_per_min_y,sig_str_body_att_per_min_y,sig_str_leg_acc_y,sig_str_leg_succ_per_min_y,sig_str_leg_att_per_min_y,sig_str_dist_acc_y,sig_str_dist_succ_per_min_y,sig_str_dist_att_per_min_y,sig_str_clinch_acc_y,sig_str_clinch_succ_per_min_y,sig_str_clinch_att_per_min_y,sig_str_ground_acc_y,sig_str_ground_succ_per_min_y,sig_str_ground_att_per_min_y,age_y,ufc_wins_y,ufc_losses_y,ufc_draws_y,weightclass_Bantamweight_y,weightclass_Catch Weight_y,weightclass_Featherweight_y,weightclass_Flyweight_y,weightclass_Heavyweight_y,weightclass_Light Heavyweight_y,weightclass_Lightweight_y,weightclass_Middleweight_y,weightclass_Open Weight_y,weightclass_Strawweight_y,weightclass_Super Heavyweight_y,weightclass_Welterweight_y,stance_Open Stance_y,stance_Orthodox_y,stance_Sideways_y,stance_Southpaw_y,stance_Switch_y,fx_win
1.75,135.0,1.78,0.0,1.0,1.0,1.0,0.0,0.0,109.0,137.0,5.0,23.0,12.0,14.0,1.0,3.0,9.0,26.0,3.0,6.0,6.0,8.0,15.0,0.0,0.07,0.07,0.07,0.0,0.0,0.0,0.8,7.27,9.13,0.22,0.33,1.53,0.86,0.8,0.93,0.33,0.07,0.2,0.35,0.6,1.73,0.5,0.2,0.4,0.75,0.4,0.53,25.05,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.78,135.0,1.78,0.0,0.0,0.0,0.0,0.0,0.0,7.0,27.0,2.0,21.0,1.0,2.0,4.0,4.0,5.0,25.0,2.0,2.0,0.0,0.0,2.780000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,2.52,9.71,0.1,0.72,7.55,0.5,0.36,0.72,1.0,1.44,1.44,0.2,1.8,8.99,1.0,0.72,0.72,0.0,0.0,0.0,27.63,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.73,155.0,1.75,0.0,1.0,1.0,0.0,0.0,3.0,93.0,170.0,18.0,83.0,18.0,20.0,19.0,27.0,31.0,83.0,24.0,47.0,0.0,0.0,15.0,0.0,0.07,0.07,0.0,0.0,0.0,0.2,0.55,6.2,11.33,0.22,1.2,5.53,0.9,1.2,1.33,0.7,1.27,1.8,0.37,2.07,5.53,0.51,1.6,3.13,0.0,0.0,0.0,25.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1.7,155.0,1.78,0.0,3.0,1.0,0.0,1.0,2.0,22.0,46.0,9.0,28.0,3.0,6.0,1.0,2.0,9.0,27.0,3.0,8.0,1.0,1.0,9.72,0.0,0.31,0.1,0.0,0.5,0.1,0.21,0.48,2.26,4.73,0.32,0.93,2.88,0.5,0.31,0.62,0.5,0.1,0.21,0.33,0.93,2.78,0.38,0.31,0.82,1.0,0.1,0.1,29.69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1.73,155.0,1.75,0.0,1.0,2.0,0.0,2.0,7.0,110.0,202.0,20.0,98.0,22.0,25.0,22.0,30.0,32.0,96.0,31.0,56.0,1.0,1.0,20.0,0.0,0.05,0.1,0.0,0.29,0.1,0.35,0.54,5.5,10.1,0.2,1.0,4.9,0.88,1.1,1.25,0.73,1.1,1.5,0.33,1.6,4.8,0.55,1.55,2.8,1.0,0.05,0.05,27.93,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.7,155.0,1.75,0.0,1.0,6.0,2.0,5.0,20.0,484.0,1109.0,200.0,764.0,13.0,23.0,73.0,89.0,184.0,671.0,45.0,78.0,57.0,127.0,89.8,0.0,0.01,0.07,0.02,0.25,0.06,0.22,0.44,5.39,12.35,0.26,2.23,8.51,0.57,0.14,0.26,0.82,0.81,0.99,0.27,2.05,7.47,0.58,0.5,0.87,0.45,0.63,1.41,31.81,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1.73,155.0,1.75,0.0,1.0,2.0,0.0,3.0,8.0,247.0,472.0,83.0,275.0,44.0,53.0,39.0,56.0,105.0,286.0,52.0,85.0,9.0,13.0,35.73,0.0,0.03,0.06,0.0,0.38,0.08,0.22,0.52,6.91,13.21,0.3,2.32,7.7,0.83,1.23,1.48,0.7,1.09,1.57,0.37,2.94,8.0,0.61,1.46,2.38,0.69,0.25,0.36,28.66,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.75,155.0,1.78,1.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,4.0,10.0,1.0,1.0,0.0,1.0,2.0,6.0,0.0,1.0,3.0,5.0,0.7300000000000004,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.42,6.85,16.44,0.4,5.48,13.7,1.0,1.37,1.37,0.0,0.0,1.37,0.33,2.74,8.22,0.0,0.0,1.37,0.6,4.11,6.85,24.69,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
1.73,155.0,1.75,0.0,1.0,3.0,0.0,5.0,15.0,420.0,785.0,117.0,427.0,69.0,86.0,45.0,66.0,129.0,415.0,83.0,138.0,19.0,26.0,60.36,0.0,0.02,0.05,0.0,0.33,0.08,0.25,0.54,6.96,13.01,0.27,1.94,7.07,0.8,1.14,1.42,0.68,0.75,1.09,0.31,2.14,6.88,0.6,1.38,2.29,0.73,0.31,0.43,29.47,2,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.73,155.0,1.73,0.0,0.0,0.0,0.0,0.0,0.0,5.0,21.0,0.0,14.0,0.0,2.0,3.0,3.0,3.0,19.0,0.0,0.0,0.0,0.0,3.6000000000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,1.39,5.83,0.0,0.0,3.89,0.0,0.0,0.56,1.0,0.83,0.83,0.16,0.83,5.28,0.0,0.0,0.0,0.0,0.0,0.0,26.77,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1.73,155.0,1.75,0.0,1.0,7.0,0.0,8.0,23.0,555.0,1018.0,137.0,530.0,84.0,108.0,67.0,94.0,167.0,545.0,99.0,157.0,22.0,30.0,80.36,0.0,0.01,0.09,0.0,0.35,0.1,0.29,0.55,6.91,12.67,0.26,1.7,6.6,0.78,1.05,1.34,0.71,0.83,1.17,0.31,2.08,6.78,0.63,1.23,1.95,0.73,0.27,0.37,32.63,3,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.73,155.0,1.78,0.0,0.0,1.0,0.0,4.0,19.0,71.0,137.0,27.0,84.0,14.0,17.0,14.0,18.0,35.0,93.0,10.0,13.0,10.0,13.0,16.1,0.0,0.0,0.06,0.0,0.21,0.25,1.18,0.52,4.41,8.51,0.32,1.68,5.22,0.82,0.87,1.06,0.78,0.87,1.12,0.38,2.17,5.78,0.77,0.62,0.81,0.77,0.62,0.81,31.37,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1.93,205.0,1.98,0.0,0.0,0.0,0.0,0.0,1.0,391.0,569.0,81.0,221.0,42.0,47.0,9.0,10.0,80.0,215.0,52.0,63.0,0.0,0.0,26.43,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.69,14.79,21.53,0.37,3.06,8.36,0.89,1.59,1.78,0.9,0.34,0.38,0.37,3.03,8.13,0.83,1.97,2.38,0.0,0.0,0.0,28.76,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.88,185.0,1.9,1.0,1.0,4.0,0.0,6.0,14.0,136.0,185.0,26.0,56.0,4.0,6.0,3.0,3.0,8.0,17.0,6.0,15.0,19.0,33.0,18.66,0.05,0.05,0.21,0.0,0.43,0.32,0.75,0.74,7.29,9.91,0.46,1.39,3.0,0.67,0.21,0.32,1.0,0.16,0.16,0.47,0.43,0.91,0.4,0.32,0.8,0.58,1.02,1.77,30.42,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1.83,170.0,1.85,1.0,0.0,0.0,0.0,1.0,1.0,27.0,40.0,11.0,22.0,3.0,3.0,2.0,2.0,3.0,5.0,2.0,2.0,11.0,20.0,1.67,0.6,0.0,0.0,0.0,1.0,0.6,0.6,0.68,16.17,23.95,0.5,6.59,13.17,1.0,1.8,1.8,1.0,1.2,1.2,0.6,1.8,2.99,1.0,1.2,1.2,0.55,6.59,11.98,35.11,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.85,205.0,1.96,1.0,5.0,22.0,3.0,18.0,34.0,479.0,674.0,129.0,285.0,70.0,81.0,4.0,8.0,33.0,127.0,45.0,66.0,125.0,181.0,61.209999999999994,0.02,0.08,0.36,0.05,0.53,0.29,0.56,0.71,7.83,11.01,0.45,2.11,4.66,0.86,1.14,1.32,0.5,0.07,0.13,0.26,0.54,2.07,0.68,0.74,1.08,0.69,2.04,2.96,28.91,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
1.83,170.0,1.85,2.0,0.0,0.0,0.0,4.0,4.0,66.0,106.0,32.0,67.0,5.0,6.0,4.0,4.0,11.0,25.0,5.0,5.0,25.0,47.0,6.949999999999999,0.29,0.0,0.0,0.0,1.0,0.58,0.58,0.62,9.5,15.25,0.48,4.6,9.64,0.83,0.72,0.86,1.0,0.58,0.58,0.44,1.58,3.6,1.0,0.72,0.72,0.53,3.6,6.76,35.48,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.83,205.0,1.88,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9199999999999999,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.0,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.0,26.66,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1.83,170.0,1.85,2.0,0.0,3.0,0.0,6.0,10.0,140.0,255.0,54.0,152.0,17.0,26.0,6.0,7.0,25.0,91.0,24.0,42.0,28.0,52.0,21.950000000000003,0.09,0.0,0.14,0.0,0.6,0.27,0.46,0.55,6.38,11.62,0.36,2.46,6.92,0.65,0.77,1.18,0.86,0.27,0.32,0.27,1.14,4.15,0.57,1.09,1.91,0.54,1.28,2.37,36.34,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.83,185.0,1.83,1.0,2.0,4.0,2.0,5.0,40.0,168.0,326.0,83.0,225.0,32.0,36.0,9.0,10.0,45.0,138.0,29.0,41.0,50.0,92.0,44.21,0.02,0.05,0.09,0.05,0.12,0.11,0.9,0.52,3.8,7.37,0.37,1.88,5.09,0.89,0.72,0.81,0.9,0.2,0.23,0.33,1.02,3.12,0.71,0.66,0.93,0.54,1.13,2.08,32.78,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
