fx_win,sig_str_ground_att_sum_diff,sig_str_ground_succ_sum_diff,age_diff,tds_succ_sum_diff,pass_sum_diff,tds_succ_per_min_diff,tds_att_sum_diff,reach_diff,pass_per_min_diff,sig_str_head_acc_diff,sig_str_dist_acc_diff,tot_str_succ_sum_diff,ufc_losses_diff,sig_str_head_succ_sum_diff,sig_str_ground_att_per_min_diff,sig_str_ground_succ_per_min_diff,tds_att_per_min_diff,fight_time_sum_diff,tds_acc_diff
0,8.0,6.0,-2.5799999999999983,0.0,1.0,0.0,0.0,0.0,0.07,0.12,0.14999999999999997,102.0,0,3.0,0.53,0.4,0.0,12.219999999999999,0.0
0,-1.0,-1.0,-4.59,-1.0,0.0,-0.1,1.0,-0.030000000000000027,-0.03,-0.1,0.03999999999999998,71.0,1,9.0,-0.1,-0.1,-0.009999999999999981,5.279999999999999,-0.5
1,-113.0,-54.0,-3.879999999999999,-2.0,-4.0,0.03,-1.0,0.0,0.0,-0.10999999999999999,0.020000000000000018,-237.0,-1,-117.0,-1.8599999999999999,-0.87,0.21999999999999997,-39.8,-0.21000000000000002
1,8.0,6.0,3.969999999999999,3.0,2.0,0.08,8.0,-0.030000000000000027,0.06,-0.10000000000000003,0.03999999999999998,242.0,3,79.0,-6.489999999999999,-3.8600000000000003,0.22,35.0,0.38
1,25.0,18.0,2.6999999999999993,3.0,1.0,0.07,8.0,0.020000000000000018,0.02,0.29,0.13999999999999999,305.0,3,97.0,0.62,0.45,0.2,36.76,0.38
0,4.0,3.0,1.2600000000000016,1.0,4.0,-0.14,-4.0,-0.030000000000000027,0.05,-0.11000000000000001,-0.14,237.0,4,27.0,-0.43000000000000005,-0.33,-0.8399999999999999,28.53,0.12000000000000002
0,-33.0,-19.0,-1.6600000000000001,-6.0,-4.0,-0.32,-13.0,0.08000000000000007,-0.21,-0.09000000000000002,-0.09999999999999998,255.0,0,55.0,-1.77,-1.02,-0.71,7.77,-0.43
1,-125.0,-91.0,6.199999999999999,-12.0,-19.0,0.32999999999999996,-24.0,-0.10999999999999988,-0.4,0.07,0.35,-381.0,-3,-89.0,8.97,4.47,0.07999999999999996,-46.42999999999999,0.48
1,47.0,25.0,8.819999999999997,4.0,0.0,0.58,4.0,-0.029999999999999805,0.0,0.48,0.44,66.0,0,32.0,6.76,3.6,0.58,6.029999999999999,1.0
0,-40.0,-22.0,3.5600000000000023,1.0,-1.0,0.15000000000000002,-26.0,0.020000000000000018,0.04000000000000001,-0.010000000000000009,-0.06,-14.0,-2,-18.0,0.0900000000000003,0.040000000000000036,-0.43,-18.379999999999995,0.45999999999999996
1,45.0,24.0,13.420000000000002,11.0,3.0,0.3,18.0,-0.029999999999999805,0.08,-0.34,-0.43,185.0,1,60.0,-0.8200000000000001,-0.5799999999999998,-0.12,32.620000000000005,0.52
1,-25.0,-23.0,3.1700000000000017,9.0,-3.0,0.15999999999999998,27.0,-0.04999999999999982,-0.1,-0.03999999999999998,0.07999999999999999,101.0,-3,-11.0,-0.8799999999999999,-0.73,0.49,11.82,-0.03999999999999998
0,6.0,2.0,13.759999999999998,3.0,-2.0,-0.25,26.0,-0.04999999999999982,-0.28,-0.14,-0.13999999999999996,192.0,1,87.0,-0.4,-0.36,0.13,45.0,-0.72
1,34.0,25.0,9.569999999999997,7.0,0.0,0.12,31.0,-0.029999999999999805,0.0,0.24,0.33,311.0,1,106.0,0.57,0.42,0.52,54.519999999999996,0.23
0,36.0,28.0,6.119999999999997,3.0,3.0,0.05,14.0,0.07000000000000006,0.05,0.09999999999999998,0.06,-31.0,-1,-9.0,0.6000000000000001,0.47000000000000003,0.23999999999999994,1.4210854715202004e-14,-0.010000000000000009
0,-28.0,-19.0,2.1700000000000017,-8.0,-4.0,-0.18,-17.0,0.0,-0.09,0.26000000000000006,0.18,-162.0,-3,-62.0,3.82,2.91,-0.39,-42.989999999999995,-0.47
1,3.0,3.0,3.1900000000000013,-2.0,0.0,-0.25,-2.0,0.020000000000000018,0.0,0.09000000000000002,0.02999999999999997,18.0,0,24.0,0.12,0.19,-0.25,7.950000000000001,-1.0
1,-2.0,-2.0,3.1899999999999977,-1.0,0.0,-0.11,-1.0,0.020000000000000018,0.0,0.0,-0.019999999999999962,11.0,-1,23.0,-0.29,-0.26,-0.18000000000000002,7.950000000000001,-0.16999999999999998
1,-21.0,-16.0,4.139999999999997,-2.0,-4.0,-0.07,-5.0,-0.07999999999999985,-0.15,0.13999999999999996,0.13,-1.0,0,33.0,-0.7799999999999999,-0.6,-0.18,-2.349999999999998,-0.04999999999999999
0,-13.0,-6.0,5.0,-2.0,-8.0,0.009999999999999995,-21.0,0.0,-0.28,0.24,-0.13999999999999999,-20.0,0,-45.0,2.0300000000000002,1.9700000000000002,-0.65,-20.120000000000005,0.86
1,18.0,17.0,0.05000000000000071,-8.0,-6.0,-0.12,-20.0,-0.020000000000000018,-0.09,0.11000000000000004,0.06,-42.0,-5,-20.0,0.8300000000000001,0.73,-0.35,-18.689999999999998,0.52
1,-2.0,-2.0,2.0500000000000007,-4.0,-6.0,0.07000000000000003,-9.0,-0.020000000000000018,-0.06999999999999999,0.010000000000000009,0.010000000000000009,-115.0,-4,-32.0,0.5,0.37000000000000005,0.12000000000000005,-27.389999999999997,0.020000000000000018
0,-18.0,-17.0,-0.05000000000000071,8.0,6.0,0.12,20.0,0.020000000000000018,0.09,-0.11000000000000004,-0.06,42.0,5,20.0,-0.8300000000000001,-0.73,0.35,18.689999999999998,-0.52
0,-35.0,-31.0,1.9500000000000028,8.0,0.0,0.14,21.0,0.020000000000000018,-0.019999999999999997,-0.09000000000000002,0.0,-1.0,8,10.0,-1.1300000000000001,-0.9799999999999999,0.41000000000000003,13.740000000000002,-0.54
1,39.0,32.0,-0.7900000000000027,-2.0,2.0,-0.2,-3.0,0.050000000000000044,0.06,0.07,-0.06,95.0,0,23.0,0.9,0.7000000000000001,-0.26,17.809999999999995,0.17000000000000004
1,-9.0,2.0,1.0600000000000023,-5.0,1.0,-0.05000000000000002,-11.0,-0.050000000000000044,0.04999999999999999,0.03999999999999998,-0.07999999999999996,-118.0,-2,-42.0,0.07999999999999996,0.2799999999999999,-0.16999999999999998,-12.830000000000013,0.25
0,26.0,23.0,0.3999999999999986,5.0,2.0,0.2,7.0,-0.1499999999999999,0.09,0.12,-0.020000000000000018,-26.0,0,17.0,1.02,0.9099999999999999,0.31,-10.160000000000004,0.26999999999999996
1,2.0,-3.0,2.0700000000000003,7.0,2.0,0.28,13.0,0.0,0.08,-0.37000000000000005,-0.18,38.0,1,30.0,-0.32000000000000006,-0.51,0.5,7.459999999999997,0.5
0,16.0,9.0,3.4300000000000033,5.0,-1.0,0.17,9.0,-0.1499999999999999,-0.03,-0.11000000000000004,-0.12,-130.0,1,-79.0,0.5499999999999999,0.31,0.31000000000000005,-9.780000000000001,0.5
0,4.0,4.0,1.6300000000000026,4.0,0.0,0.13,9.0,0.050000000000000044,0.0,-0.020000000000000018,-0.20999999999999996,-227.0,-3,-56.0,0.18,0.14,0.3,-10.530000000000008,0.4
0,-14.0,-11.0,1.3800000000000026,-4.0,-5.0,-0.27,-5.0,-0.07999999999999985,-0.33,-0.07000000000000006,0.0,-42.0,0,17.0,-0.9400000000000001,-0.74,-0.33,0.0,-0.8
0,1.0,1.0,1.3999999999999986,0.0,0.0,0.0,0.0,-0.15000000000000013,0.0,0.0,0.12,68.0,0,83.0,-0.03,-0.03,0.0,14.999999999999996,0.0
1,-1.0,0.0,-5.73,-1.0,0.0,-0.07,0.0,0.16000000000000014,0.0,-0.16999999999999998,-0.06999999999999995,13.0,0,0.0,-0.06000000000000005,0.0,0.0,0.0,-1.0
0,-24.0,-20.0,-6.620000000000001,0.0,-2.0,0.0,1.0,0.16000000000000014,-0.15000000000000002,-0.21999999999999997,-0.030000000000000027,-37.0,-3,-10.0,-1.7799999999999998,-1.44,0.05,6.650000000000002,0.0
1,-47.0,-32.0,1.4899999999999984,-5.0,-16.0,0.08000000000000002,-3.0,0.030000000000000027,-0.42,-0.28,-0.09999999999999998,-56.0,-1,-33.0,-1.12,-0.85,0.30000000000000004,-19.790000000000006,-0.25
1,10.0,6.0,4.48,4.0,6.0,0.14,0.0,0.0,0.21,0.15,0.13,-79.0,0,-45.0,0.35,0.21,0.04000000000000001,-8.690000000000005,0.8
0,-40.0,-25.0,0.28000000000000114,-5.0,-4.0,-0.010000000000000009,-9.0,-0.020000000000000018,0.21,0.25,0.25999999999999995,-173.0,-3,-70.0,-0.1399999999999999,0.020000000000000018,-0.10999999999999999,-33.58,0.4
1,-1.0,4.0,3.889999999999997,-6.0,3.0,-0.29,-11.0,-0.020000000000000018,0.24,0.33999999999999997,0.4,15.0,0,9.0,0.16000000000000003,0.37,-0.56,-6.309999999999995,0.42000000000000004
1,3.0,0.0,8.869999999999997,1.0,3.0,-0.24000000000000002,0.0,0.050000000000000044,-0.17,-0.22999999999999998,-0.13999999999999996,15.0,1,1.0,-0.56,-0.5700000000000001,-0.48000000000000004,19.86,0.20000000000000007
0,-23.0,-22.0,-2.8599999999999994,0.0,-3.0,0.04000000000000001,-7.0,-0.06999999999999984,-0.010000000000000009,0.03999999999999998,0.09999999999999998,-93.0,1,-35.0,-0.44999999999999996,-0.47,-0.11999999999999997,-11.649999999999999,0.47000000000000003
0,-41.0,-27.0,1.3399999999999963,-3.0,2.0,-0.07,-15.0,-0.06999999999999984,0.04999999999999999,-0.13,0.08999999999999997,-19.0,1,-55.0,-0.96,-0.6300000000000001,-0.35,-2.4299999999999997,0.45000000000000007
0,-17.0,-9.0,7.699999999999999,0.0,-2.0,0.0,-1.0,-0.10000000000000009,-0.13,-0.03999999999999998,0.0,-10.0,0,12.0,-1.14,-0.6000000000000001,-0.07,0.0,0.0
0,2.0,2.0,2.990000000000002,0.0,1.0,0.0,1.0,-0.050000000000000044,0.04,0.08000000000000002,0.050000000000000044,9.0,0,25.0,-0.010000000000000009,0.039999999999999994,0.04,11.969999999999999,0.0
1,7.0,6.0,1.1899999999999977,2.0,1.0,0.13,3.0,-0.10000000000000009,0.07,-0.010000000000000009,-0.13000000000000003,18.0,0,4.0,0.46,0.4,0.2,0.0,0.4
1,1.0,1.0,-6.280000000000001,0.0,-3.0,0.08,-3.0,-0.050000000000000044,-0.01999999999999999,-0.06,-0.010000000000000009,-125.0,-7,-53.0,0.15000000000000002,0.15000000000000002,0.020000000000000004,-29.43999999999999,0.6
0,-8.0,-7.0,-4.390000000000001,1.0,3.0,0.13999999999999999,-7.0,0.020000000000000018,0.22,-0.02999999999999997,-0.010000000000000009,-133.0,-2,-40.0,0.12999999999999995,0.12,-0.010000000000000009,-36.96000000000001,0.8
0,-42.0,-38.0,11.59,-3.0,0.0,-0.15,-12.0,-0.050000000000000044,-0.03,-0.18,0.12,-49.0,1,-38.0,-1.8000000000000003,-1.6099999999999999,-0.51,6.8500000000000085,0.6
0,-51.0,-39.0,3.379999999999999,-3.0,-3.0,0.06000000000000001,-14.0,-0.19999999999999996,0.06000000000000001,0.08999999999999997,0.22000000000000003,-328.0,0,-41.0,-0.6299999999999999,-0.48,-0.1,-37.79999999999999,0.43000000000000005
1,-20.0,-18.0,3.5500000000000007,-1.0,0.0,-0.04,-1.0,-0.07000000000000006,0.0,0.08000000000000002,0.050000000000000044,-130.0,0,-20.0,-0.73,-0.66,-0.04,-12.280000000000001,-1.0
0,-43.0,-29.0,6.400000000000002,-2.0,-3.0,-0.009999999999999995,-13.0,-0.10000000000000009,-0.05,-0.02999999999999997,0.07,-154.0,-2,-97.0,-0.84,-0.57,-0.16999999999999998,-21.019999999999992,0.12000000000000002
