height_x,weight_x,reach_x,fx_win,fight_time_x,age_x,str_landed_per_min_x,str_acc_x,str_absorb_per_min_x,str_def_x,td_avg_x,td_acc_x,td_def_x,sub_avg_x,win_percentage_x,height_y,weight_y,reach_y,fight_time_y,age_y,str_landed_per_min_y,str_acc_y,str_absorb_per_min_y,str_def_y,td_avg_y,td_acc_y,td_def_y,sub_avg_y,win_percentage_y
1.75,135.0,1.78,0,15.0,25.05,7.27,0.8,6.33,0.74,0.0,0.0,0.62,1.0,0.89,1.78,135.0,1.78,2.780000000000001,27.63,2.52,0.26,9.71,0.59,0.0,0.0,1.0,0.0,0.8
1.73,155.0,1.75,0,15.0,25.1,6.2,0.55,5.8,0.49,0.0,0.0,0.75,1.0,0.72,1.7,155.0,1.78,9.72,29.69,2.26,0.48,8.64,0.62,1.54,0.5,1.0,4.63,0.85
1.73,155.0,1.75,1,20.0,27.93,5.5,0.54,5.85,0.48,1.5,0.29,0.75,0.75,0.7,1.7,155.0,1.75,59.8,31.81,5.8,0.5,5.8,0.5,1.0,0.5,0.5,0.0,0.64
1.73,155.0,1.75,1,35.73,28.66,6.91,0.52,5.96,0.45,1.26,0.38,0.58,0.42,0.69,1.75,155.0,1.78,0.7300000000000004,24.69,6.85,0.42,6.85,0.42,0.0,0.0,0.0,0.0,0.78
1.73,155.0,1.75,1,40.36,29.47,7.68,0.53,6.1,0.5,1.11,0.38,0.11,0.0,0.68,1.73,155.0,1.73,3.6000000000000014,26.77,1.39,0.24,4.17,0.58,0.0,0.0,1.0,0.0,0.7
1.73,155.0,1.75,0,44.63,32.63,6.9,0.56,5.2,0.5,1.68,0.33,0.14,0.0,0.67,1.73,155.0,1.78,16.1,31.37,4.41,0.52,5.96,0.55,3.73,0.21,0.27,0.0,0.9
1.93,205.0,1.98,0,26.43,28.76,14.79,0.69,8.82,0.61,0.0,0.0,0.14,0.0,0.81,1.88,185.0,1.9,18.66,30.42,7.29,0.74,6.97,0.73,4.82,0.43,0.35,0.8,0.65
1.83,170.0,1.85,1,1.67,35.11,16.17,0.68,1.2,0.4,8.98,1.0,0.0,0.0,0.71,1.85,205.0,1.96,48.099999999999994,28.91,8.48,0.72,6.96,0.71,4.05,0.52,0.44,0.62,0.68
1.83,170.0,1.85,1,6.949999999999999,35.48,9.5,0.62,2.3,0.36,8.63,1.0,0.0,0.0,0.75,1.83,205.0,1.88,0.9199999999999999,26.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.3,0.71
1.83,170.0,1.85,0,21.950000000000003,36.34,6.38,0.55,3.46,0.42,4.1,0.6,0.17,0.0,0.67,1.83,185.0,1.83,40.33,32.78,3.82,0.53,5.06,0.58,1.86,0.14,0.29,0.74,0.7
