name,height,weight,reach,age,dob,wins,losses,draws,str_landed_per_min,str_acc,str_absorb_per_min,str_def,td_avg,td_acc,td_def,sub_avg,win_percentage
Aalon Cruz,1.83,145.0,1.98,30.44,1989-09-20,8,2,0,1.41,0.17,20.42,0.76,0.0,0.0,,0.0,0.8
Aaron Brink,1.91,205.0,1.91,26.02,1974-11-12,25,20,0,0.0,0.0,2.17,0.5,0.0,0.0,1.0,0.0,0.56
Aaron Phillips,1.75,135.0,1.78,25.05,1989-08-05,8,1,0,15.33,0.82,8.0,0.7,0.0,0.0,0.67,0.0,0.89
Aaron Riley,1.73,155.0,1.75,32.63,1980-12-09,29,13,1,1.73,0.15,3.87,0.4,0.0,,0.33,0.0,0.67
Aaron Rosa,1.93,205.0,1.98,28.76,1983-05-28,17,4,0,7.51,0.55,17.37,0.74,0.0,,,0.0,0.81
Aaron Simpson,1.83,170.0,1.85,38.21,1974-07-20,10,4,0,9.12,0.69,3.83,0.66,2.74,1.0,0.0,2.74,0.71
Abdul Razak Alhassan,1.78,170.0,1.85,33.08,1985-08-11,9,1,0,20.83,0.71,5.56,0.4,0.0,,0.0,0.0,0.9
Abdul-Kerim Edilov,1.88,205.0,1.98,25.77,1991-11-25,16,4,0,19.92,0.71,0.93,0.33,3.98,1.0,,1.99,0.8
Abel Trujillo,1.73,155.0,1.78,34.25,1983-09-18,14,8,0,2.0,0.32,3.8,0.48,1.0,0.17,,0.0,0.64
Abu Azaitar,1.75,185.0,1.93,32.37,1986-03-10,13,1,1,9.0,0.6,4.2,0.69,1.0,1.0,0.75,0.0,0.87
Abubakar Nurmagomedov,1.8,170.0,1.83,29.99,1989-11-13,15,2,1,7.77,0.65,8.83,0.74,5.3,1.0,,0.0,0.83
Adam Cella,1.88,170.0,1.98,27.78,1985-06-26,4,1,0,1.26,0.29,5.03,0.7,0.0,,1.0,0.0,0.8
Adam Milstead,1.91,205.0,1.93,31.45,1987-07-03,7,3,0,7.38,0.65,14.77,0.83,0.0,,,0.0,0.7
Adam Wieczorek,1.96,250.0,2.06,26.74,1992-02-05,9,2,0,2.07,0.48,4.67,0.62,1.0,0.5,0.6,0.0,0.82
Adam Yandiev,1.75,185.0,1.88,30.11,1988-08-07,9,0,0,0.18,0.08,9.65,0.67,0.0,,0.75,0.0,1.0
Adlan Amagov,1.88,170.0,1.93,26.97,1986-10-30,12,2,1,7.67,0.68,1.33,0.4,0.0,0.0,0.0,0.0,0.8
Adrian Serrano,1.73,170.0,1.73,36.46,1963-12-23,56,28,4,,,,,,,,,0.64
Adriano Martins,1.78,155.0,1.83,34.73,1982-12-16,26,9,0,1.48,0.52,2.4,0.41,0.0,,,1.39,0.74
Adriano Santos,1.85,185.0,1.88,18.74,1980-01-19,0,0,0,,,,,,,,,
Aiemann Zahabi,1.73,135.0,1.73,31.46,1987-11-19,6,2,0,1.93,0.35,3.93,0.3,1.0,0.2,,0.0,0.75
Aisling Daly,1.57,115.0,1.63,27.83,1987-12-24,16,5,0,11.07,0.77,3.8,0.63,2.0,0.4,1.0,0.0,0.76
Akbarh Arreola,1.78,155.0,1.8,32.83,1983-01-14,23,9,1,3.3,0.6,9.6,0.71,0.0,,0.33,0.0,0.7
Akihiro Gono,1.7,170.0,1.73,34.32,1974-10-07,31,16,7,1.2,0.56,11.6,0.75,0.0,,0.57,0.0,0.57
Akira Corassani,1.73,145.0,1.73,32.41,1982-08-27,13,7,0,3.21,0.34,3.5,0.43,0.0,,,0.0,0.65
Al Iaquinta,1.78,155.0,1.78,32.43,1987-04-30,13,6,1,2.53,0.32,6.93,0.49,0.0,0.0,0.0,0.0,0.65
Alan Belcher,1.88,185.0,1.85,29.01,1984-04-24,17,6,0,2.0,0.19,6.47,0.42,0.0,0.0,,0.0,0.74
Alan Jouban,1.83,170.0,1.85,37.38,1981-11-25,15,7,0,1.67,0.25,2.6,0.32,1.0,0.5,,0.0,0.68
