weightclass_Bantamweight_x,weightclass_Catch Weight_x,weightclass_Featherweight_x,weightclass_Flyweight_x,weightclass_Heavyweight_x,weightclass_Light Heavyweight_x,weightclass_Lightweight_x,weightclass_Middleweight_x,weightclass_Open Weight_x,weightclass_Strawweight_x,weightclass_Super Heavyweight_x,weightclass_Welterweight_x,stance_Open Stance_x,stance_Orthodox_x,stance_Sideways_x,stance_Southpaw_x,stance_Switch_x,weightclass_Bantamweight_y,weightclass_Catch Weight_y,weightclass_Featherweight_y,weightclass_Flyweight_y,weightclass_Heavyweight_y,weightclass_Light Heavyweight_y,weightclass_Lightweight_y,weightclass_Middleweight_y,weightclass_Open Weight_y,weightclass_Strawweight_y,weightclass_Super Heavyweight_y,weightclass_Welterweight_y,stance_Open Stance_y,stance_Orthodox_y,stance_Sideways_y,stance_Southpaw_y,stance_Switch_y,fx_win,height_diff,weight_diff,reach_diff,kds_sum_diff,sub_att_sum_diff,pass_sum_diff,rev_sum_diff,tds_succ_sum_diff,tds_att_sum_diff,tot_str_succ_sum_diff,tot_str_att_sum_diff,sig_str_head_succ_sum_diff,sig_str_head_att_sum_diff,sig_str_body_succ_sum_diff,sig_str_body_att_sum_diff,sig_str_leg_succ_sum_diff,sig_str_leg_att_sum_diff,sig_str_dist_succ_sum_diff,sig_str_dist_att_sum_diff,sig_str_clinch_succ_sum_diff,sig_str_clinch_att_sum_diff,sig_str_ground_succ_sum_diff,sig_str_ground_att_sum_diff,fight_time_sum_diff,kds_per_min_diff,sub_att_per_min_diff,pass_per_min_diff,rev_per_min_diff,tds_acc_diff,tds_succ_per_min_diff,tds_att_per_min_diff,tot_str_acc_diff,tot_str_succ_per_min_diff,tot_str_att_per_min_diff,sig_str_head_acc_diff,sig_str_head_succ_per_min_diff,sig_str_head_att_per_min_diff,sig_str_body_acc_diff,sig_str_body_succ_per_min_diff,sig_str_body_att_per_min_diff,sig_str_leg_acc_diff,sig_str_leg_succ_per_min_diff,sig_str_leg_att_per_min_diff,sig_str_dist_acc_diff,sig_str_dist_succ_per_min_diff,sig_str_dist_att_per_min_diff,sig_str_clinch_acc_diff,sig_str_clinch_succ_per_min_diff,sig_str_clinch_att_per_min_diff,sig_str_ground_acc_diff,sig_str_ground_succ_per_min_diff,sig_str_ground_att_per_min_diff,age_diff,ufc_wins_diff,ufc_losses_diff,ufc_draws_diff
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.030000000000000027,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,102.0,110.0,3.0,2.0,11.0,12.0,-3.0,-1.0,4.0,1.0,1.0,4.0,6.0,8.0,12.219999999999999,0.0,0.07,0.07,0.07,0.0,0.0,0.0,0.54,4.75,-0.5800000000000001,0.12,-0.38999999999999996,-6.02,0.36,0.44000000000000006,0.21000000000000008,-0.6699999999999999,-1.3699999999999999,-1.24,0.14999999999999997,-1.2000000000000002,-7.26,-0.5,-0.52,-0.31999999999999995,0.75,0.4,0.53,-2.5799999999999983,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.030000000000000027,0.0,-0.030000000000000027,0.0,-2.0,0.0,0.0,-1.0,1.0,71.0,124.0,9.0,55.0,15.0,14.0,18.0,25.0,22.0,56.0,21.0,39.0,-1.0,-1.0,5.279999999999999,0.0,-0.24,-0.03,0.0,-0.5,-0.1,-0.009999999999999981,0.07000000000000006,3.9400000000000004,6.6,-0.1,0.2699999999999999,2.6500000000000004,0.4,0.8899999999999999,0.7100000000000001,0.19999999999999996,1.17,1.59,0.03999999999999998,1.1399999999999997,2.7500000000000004,0.13,1.29,2.31,-1.0,-0.1,-0.1,-4.59,-1,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0.030000000000000027,0.0,0.0,0.0,1.0,0.0,-1.0,-2.0,-1.0,-84.0,-141.0,-57.0,-114.0,20.0,21.0,-21.0,-18.0,-32.0,-62.0,9.0,21.0,-35.0,-70.0,-9.799999999999997,0.0,0.05,0.03,-0.03,-0.21000000000000002,-0.03,0.07999999999999996,-0.029999999999999916,-1.0099999999999998,-1.4100000000000001,-0.15999999999999998,-1.58,-2.21,0.38,1.03,1.12,-0.17000000000000004,-0.33999999999999986,-0.1100000000000001,-0.07999999999999996,-0.5499999999999998,-0.5,-0.07999999999999996,0.81,1.63,0.49,-1.16,-2.33,-3.879999999999999,-3,-1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,-0.020000000000000018,0.0,-0.030000000000000027,-1.0,0.0,0.0,0.0,1.0,1.0,132.0,258.0,59.0,167.0,21.0,27.0,17.0,25.0,71.0,184.0,21.0,28.0,5.0,7.0,14.999999999999996,-1.37,0.0,0.0,0.0,1.0,0.06,0.06,0.09000000000000002,1.8600000000000012,0.7199999999999989,-0.040000000000000036,-1.4700000000000006,-2.4499999999999993,-0.20999999999999996,0.029999999999999805,0.4099999999999999,0.65,1.08,0.2799999999999998,0.04999999999999999,1.8999999999999995,3.8599999999999994,0.72,1.34,0.47,0.07000000000000006,-3.6000000000000005,-6.09,3.969999999999999,0,3,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.020000000000000018,0.0,0.0,1.0,0.0,2.0,7.0,168.0,292.0,34.0,138.0,25.0,31.0,3.0,7.0,21.0,110.0,31.0,53.0,10.0,13.0,21.03,0.0,0.0,0.04,0.0,0.29,0.08,0.28,0.31000000000000005,5.63,6.880000000000001,0.22,1.38,2.28,0.76,1.02,0.78,-0.4,-0.59,-0.42,0.03,0.14,-0.040000000000000036,0.58,1.26,2.15,0.77,0.41,0.53,2.6999999999999993,2,3,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,-0.030000000000000027,0.0,0.0,3.0,0.0,-1.0,-11.0,64.0,96.0,-7.0,19.0,1.0,5.0,8.0,10.0,3.0,37.0,6.0,6.0,-7.0,-9.0,3.8999999999999986,0.0,0.0,0.14,0.0,0.17,-0.1,-0.7799999999999999,0.05999999999999994,2.34,3.1400000000000006,-0.13,-0.6799999999999999,-0.0699999999999994,-0.1399999999999999,-0.12,0.040000000000000036,0.010000000000000009,0.2300000000000001,0.2799999999999998,-0.09000000000000002,-0.27,0.7199999999999998,0.06999999999999995,0.18000000000000005,0.1399999999999999,-0.020000000000000018,-0.47,-0.6100000000000001,1.2600000000000016,2,4,0
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.050000000000000044,20.0,0.08000000000000007,-1.0,0.0,-1.0,0.0,-1.0,-3.0,351.0,526.0,70.0,208.0,42.0,47.0,9.0,10.0,79.0,214.0,52.0,61.0,-10.0,-10.0,21.2,-0.19,0.0,-0.19,0.0,-0.25,-0.19,-0.72,-0.2400000000000001,7.139999999999999,13.31,-0.48,0.96,5.869999999999999,0.89,1.59,1.78,0.9,0.34,0.38,-0.63,2.84,7.94,0.83,1.97,2.0,-1.0,-1.91,-1.91,-1.6600000000000001,-1,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,-0.020000000000000018,-35.0,-0.10999999999999988,1.0,-2.0,-15.0,0.0,-9.0,-20.0,-248.0,-345.0,-47.0,-124.0,-52.0,-61.0,1.0,-2.0,-21.0,-93.0,-25.0,-35.0,-52.0,-59.0,-28.32999999999999,0.6,-0.07,-0.5,0.0,0.52,0.26999999999999996,-0.09999999999999998,-0.029999999999999916,7.000000000000002,11.12,0.09999999999999998,4.66,8.3,0.14,-0.030000000000000027,-0.32999999999999985,0.75,1.17,1.0699999999999998,0.36,1.0,-0.2799999999999998,0.27,0.29999999999999993,-0.030000000000000027,-0.25,4.49,9.350000000000001,6.199999999999999,-3,-3,0
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0.0,-35.0,-0.029999999999999805,2.0,-1.0,0.0,0.0,4.0,4.0,66.0,105.0,32.0,66.0,5.0,6.0,4.0,4.0,11.0,24.0,5.0,5.0,25.0,47.0,6.029999999999999,0.29,-1.09,0.0,0.0,1.0,0.58,0.58,0.62,9.5,14.16,0.48,4.6,8.55,0.83,0.72,0.86,1.0,0.58,0.58,0.44,1.58,2.51,1.0,0.72,0.72,0.53,3.6,6.76,8.819999999999997,1,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0,-15.0,0.020000000000000018,0.0,0.0,3.0,-1.0,3.0,-14.0,56.0,92.0,13.0,37.0,4.0,13.0,3.0,4.0,6.0,40.0,18.0,31.0,-4.0,-17.0,-2.549999999999997,0.010000000000000002,0.0,0.15,-0.04,0.4700000000000001,0.16,-0.5700000000000001,0.07,3.0700000000000003,5.21,0.010000000000000009,0.81,2.34,-0.39,0.24999999999999994,0.69,-0.19999999999999996,0.16,0.21,-0.08999999999999997,0.3800000000000001,2.2300000000000004,0.11000000000000004,0.9000000000000001,1.58,0.10000000000000003,-0.08000000000000007,-0.5699999999999998,3.5600000000000023,0,-2,0
