name,record,height,weight,reach,stance,dob,slmp,str_acc,ssapm,str_def,td_avg,td_acc,td_def,sub_avg
"
                Hunter Azure

            ","
                Record: 8-0-0
            ","
      ,
      5' 8""
    ","
      ,
      135 lbs.
    ","
      ,
      69""
    ","
      ,
      Orthodox
    ","
      ,
      
        Mar 02, 1992
      
    ","
          ,

          4.00

        ","
          ,
          50%
        ","
          ,
          1.57
        ","
          ,
          56%
        ","
          ,
          2.00
        ","
          ,
          33%
        ","
          ,
          75%
        ","
          ,
          2.5
        "
"
                Michael Byrnes

            ","
                Record: 5-2-0
            ","
      ,
      5' 11""
    ","
      ,
      155 lbs.
    ","
      ,
      --
    ","
      ,
      
    ","
      ,
      
        Jul 17, 1990
      
    ","
          ,

          0.00

        ","
          ,
          0%
        ","
          ,
          0.00
        ","
          ,
          0%
        ","
          ,
          0.00
        ","
          ,
          0%
        ","
          ,
          0%
        ","
          ,
          0.0
        "
"
                Gleidson Cutis

            ","
                Record: 7-3-0
            ","
      ,
      5' 9""
    ","
      ,
      155 lbs.
    ","
      ,
      --
    ","
      ,
      Orthodox
    ","
      ,
      
        Feb 07, 1989
      
    ","
          ,

          2.99

        ","
          ,
          52%
        ","
          ,
          8.28
        ","
          ,
          59%
        ","
          ,
          0.00
        ","
          ,
          0%
        ","
          ,
          0%
        ","
          ,
          0.0
        "
"
                Rolando Dy

            ","
                Record: 9-7-1 (1 NC)
            ","
      ,
      5' 8""
    ","
      ,
      145 lbs.
    ","
      ,
      69""
    ","
      ,
      Orthodox
    ","
      ,
      
        Aug 11, 1990
      
    ","
          ,

          3.04

        ","
          ,
          37%
        ","
          ,
          4.47
        ","
          ,
          52%
        ","
          ,
          0.30
        ","
          ,
          20%
        ","
          ,
          68%
        ","
          ,
          0.0
        "
"
                Jessica Eye

            ","
                Record: 15-7-0 (1 NC)
            ","
      ,
      5' 6""
    ","
      ,
      125 lbs.
    ","
      ,
      66""
    ","
      ,
      Orthodox
    ","
      ,
      
        Jul 27, 1986
      
    ","
          ,

          3.79

        ","
          ,
          38%
        ","
          ,
          3.39
        ","
          ,
          59%
        ","
          ,
          0.46
        ","
          ,
          45%
        ","
          ,
          59%
        ","
          ,
          0.7
        "
"
                Katsuaki Furuki

            ","
                Record: 1-1-0
            ","
      ,
      6' 0""
    ","
      ,
      168 lbs.
    ","
      ,
      --
    ","
      ,
      
    ","
      ,
      
        Nov 10, 1980
      
    ","
          ,

          0.27

        ","
          ,
          10%
        ","
          ,
          2.67
        ","
          ,
          39%
        ","
          ,
          0.00
        ","
          ,
          0%
        ","
          ,
          0%
        ","
          ,
          3.0
        "
"
                Mike Guymon

            ","
                Record: 12-5-1
            ","
      ,
      6' 0""
    ","
      ,
      170 lbs.
    ","
      ,
      74""
    ","
      ,
      Orthodox
    ","
      ,
      
        Sep 17, 1974
      
    ","
          ,

          2.75

        ","
          ,
          65%
        ","
          ,
          0.79
        ","
          ,
          66%
        ","
          ,
          1.87
        ","
          ,
          37%
        ","
          ,
          54%
        ","
          ,
          1.2
        "
"
                Solomon Hutcherson

            ","
                Record: 11-7-0 (1 NC)
            ","
      ,
      5' 11""
    ","
      ,
      185 lbs.
    ","
      ,
      --
    ","
      ,
      Southpaw
    ","
      ,
      
        Aug 31, 1972
      
    ","
          ,

          2.59

        ","
          ,
          39%
        ","
          ,
          2.59
        ","
          ,
          64%
        ","
          ,
          3.53
        ","
          ,
          100%
        ","
          ,
          0%
        ","
          ,
          0.0
        "
"
                Hiroshi Izumi

            ","
                Record: 4-2-0
            ","
      ,
      --
    ","
      ,
      205 lbs.
    ","
      ,
      --
    ","
      ,
      Orthodox
    ","
      ,
      
        Jun 22, 1982
      
    ","
          ,

          1.95

        ","
          ,
          37%
        ","
          ,
          2.65
        ","
          ,
          66%
        ","
          ,
          3.35
        ","
          ,
          70%
        ","
          ,
          100%
        ","
          ,
          0.5
        "
"
                Cris Cyborg

            ","
                Record: 21-2-0 (1 NC)
            ","
      ,
      5' 8""
    ","
      ,
      145 lbs.
    ","
      ,
      68""
    ","
      ,
      Orthodox
    ","
      ,
      
        Jul 09, 1985
      
    ","
          ,

          7.28

        ","
          ,
          52%
        ","
          ,
          2.25
        ","
          ,
          64%
        ","
          ,
          0.66
        ","
          ,
          55%
        ","
          ,
          94%
        ","
          ,
          0.4
        "
