name,record,height,weight,reach,stance,dob,event_name,f1_name_a,f1_name_span,f2_name_a,f2_name_span,weightclass,rounds,time,f1_result,f2_result,f1_kd,f2_kd,f1_sig_str,f2_sig_str,f1_sig_str_perc,f2_sig_str_perc,f1_tot_str,f2_tot_str,f1_td,f2_td,f1_td_perc,f2_td_perc,f1_sub_att,f2_sub_att,f1_pass,f2_pass,f1_rev,f2_rev,f1_sig_str_head,f2_sig_str_head,f1_sig_str_body,f2_sig_str_body,f1_sig_str_leg,f2_sig_str_leg,f1_sig_str_dist,f2_sig_str_dist,f1_sig_str_clinch,f2_sig_str_clinch,f1_sig_str_ground,f2_sig_str_ground
"
                Tom Aaron

            ","
                Record: 5-3-0
            ","
      --
    ","
      155 lbs.
    ","
      --
    ","
      
    ","
      
        Jul 13, 1978
      
    ","

  Strikeforce - Heavy Artillery

   ",Tom Aaron ,,,Eric Steenberg,"
      
      Catch Weight Bout
    ","
        ,
        1
      ","
        ,
        
        0:56

      ","
    W
  ","
    L
  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
                Hunter Azure

            ","
                Record: 8-0-0
            ","
      5' 8""
    ","
      135 lbs.
    ","
      69""
    ","
      Orthodox
    ","
      
        Mar 02, 1992
      
    ","

  UFC Fight Night: Cowboy vs. Gaethje

   ",Brad Katona ,,Hunter Azure ,,"
      
      Bantamweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    L
  ","
    W
  ","
      0
    ","
      0
    ","
      21 of 60
    ","
      41 of 118
    ","
      35%
    ","
      34%
    ","
      40 of 83
    ","
      55 of 133
    ","
      3 of 12
    ","
      0 of 1
    ","
      25%
    ","
      0%
    ","
      0
    ","
      0
    ","
      1
    ","
      1
    ","
      0
    ","
      1
    ","
      18 of 51
    ","
      25 of 91
    ","
      2 of 7
    ","
      11 of 20
    ","
      1 of 2
    ","
      5 of 7
    ","
      17 of 54
    ","
      33 of 105
    ","
      4 of 6
    ","
      6 of 8
    ","
      0 of 0
    ","
      2 of 5
    "
"
                Michael Byrnes

            ","
                Record: 5-2-0
            ","
      5' 11""
    ","
      155 lbs.
    ","
      --
    ","
      
    ","
      
        Jul 17, 1990
      
    ","

  Strikeforce - Miami

   ",,Michael Byrnes,,Dave Zitanick,"
      
      Welterweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    W
  ","
    L
  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
                Tom Aaron

            ","
                Record: 5-3-0
            ","
      --
    ","
      155 lbs.
    ","
      --
    ","
      
    ","
      
        Jul 13, 1978
      
    ","

  Strikeforce - Henderson vs. Babalu

   ",Tom Aaron ,,,Matt Ricehouse,"
      
      Lightweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    L
  ","
    W
  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
                Rolando Dy

            ","
                Record: 9-7-1 (1 NC)
            ","
      5' 8""
    ","
      145 lbs.
    ","
      69""
    ","
      Orthodox
    ","
      
        Aug 11, 1990
      
    ","

  UFC Fight Night: Holm vs. Correia

   ",Alex Caceres ,,Rolando Dy ,,"
      
      Featherweight Bout
    ","
        ,
        2
      ","
        ,
        
        5:00

      ","
    W
  ","
    L
  ","
      1
    ","
      0
    ","
      51 of 93
    ","
      20 of 65
    ","
      54%
    ","
      30%
    ","
      56 of 99
    ","
      21 of 66
    ","
      0 of 0
    ","
      1 of 4
    ","
      0%
    ","
      25%
    ","
      1
    ","
      0
    ","
      1
    ","
      1
    ","
      0
    ","
      0
    ","
      38 of 75
    ","
      9 of 44
    ","
      10 of 14
    ","
      5 of 12
    ","
      3 of 4
    ","
      6 of 9
    ","
      42 of 76
    ","
      19 of 60
    ","
      5 of 11
    ","
      1 of 5
    ","
      4 of 6
    ","
      0 of 0
    "
"
                Jessica Eye

            ","
                Record: 15-7-0 (1 NC)
            ","
      5' 6""
    ","
      125 lbs.
    ","
      66""
    ","
      Orthodox
    ","
      
        Jul 27, 1986
      
    ","

  UFC 166: Velasquez vs Dos Santos 3

   ",Sarah Kaufman ,,Jessica Eye ,,"
      
      Women's Bantamweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    NC
  ","
    NC
  ","
      0
    ","
      0
    ","
      87 of 214
    ","
      65 of 209
    ","
      40%
    ","
      31%
    ","
      131 of 258
    ","
      93 of 237
    ","
      0 of 0
    ","
      0 of 0
    ","
      0%
    ","
      0%
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      53 of 171
    ","
      39 of 176
    ","
      18 of 20
    ","
      15 of 20
    ","
      16 of 23
    ","
      11 of 13
    ","
      45 of 158
    ","
      39 of 164
    ","
      42 of 56
    ","
      26 of 45
    ","
      0 of 0
    ","
      0 of 0
    "
"
                Katsuaki Furuki

            ","
                Record: 1-1-0
            ","
      6' 0""
    ","
      168 lbs.
    ","
      --
    ","
      
    ","
      
        Nov 10, 1980
      
    ","

  Dynamite!! 2010

   ",,Andy Ologun,,Katsuaki Furuki,"
      
      Welterweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      40 of 66
    ","
      4 of 39
    ","
      60%
    ","
      10%
    ","
      76 of 104
    ","
      51 of 99
    ","
      1 of 1
    ","
      0 of 4
    ","
      100%
    ","
      0%
    ","
      0
    ","
      3
    ","
      1
    ","
      1
    ","
      2
    ","
      1
    ","
      22 of 43
    ","
      4 of 35
    ","
      17 of 22
    ","
      0 of 4
    ","
      1 of 1
    ","
      0 of 0
    ","
      12 of 24
    ","
      2 of 33
    ","
      15 of 21
    ","
      1 of 3
    ","
      13 of 21
    ","
      1 of 3
    "
"
                Mike Guymon

            ","
                Record: 12-5-1
            ","
      6' 0""
    ","
      170 lbs.
    ","
      74""
    ","
      Orthodox
    ","
      
        Sep 17, 1974
      
    ","

  UFC Fight Night: Maynard vs Diaz

   ",Rory MacDonald ,,,Mike Guymon,"
      
      Welterweight Bout
    ","
        ,
        1
      ","
        ,
        
        4:27

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      8 of 19
    ","
      6 of 18
    ","
      42%
    ","
      33%
    ","
      23 of 34
    ","
      14 of 26
    ","
      2 of 3
    ","
      0 of 3
    ","
      66%
    ","
      0%
    ","
      2
    ","
      0
    ","
      1
    ","
      0
    ","
      0
    ","
      0
    ","
      7 of 18
    ","
      2 of 13
    ","
      1 of 1
    ","
      3 of 4
    ","
      0 of 0
    ","
      1 of 1
    ","
      5 of 16
    ","
      3 of 15
    ","
      1 of 1
    ","
      0 of 0
    ","
      2 of 2
    ","
      3 of 3
    "
"
                Solomon Hutcherson

            ","
                Record: 11-7-0 (1 NC)
            ","
      5' 11""
    ","
      185 lbs.
    ","
      --
    ","
      Southpaw
    ","
      
        Aug 31, 1972
      
    ","

  The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale

   ",,Luigi Fioravanti,,Solomon Hutcherson,"
      ,
      Middleweight Bout
    ","
        ,
        1
      ","
        ,
        
        4:15

      ","
    W
  ","
    L
  ","
      1
    ","
      0
    ","
      11 of 31
    ","
      11 of 28
    ","
      35%
    ","
      39%
    ","
      19 of 41
    ","
      25 of 44
    ","
      1 of 1
    ","
      1 of 1
    ","
      100%
    ","
      100%
    ","
      0
    ","
      0
    ","
      1
    ","
      1
    ","
      1
    ","
      1
    ","
      7 of 22
    ","
      5 of 18
    ","
      3 of 7
    ","
      5 of 9
    ","
      1 of 2
    ","
      1 of 1
    ","
      4 of 12
    ","
      5 of 17
    ","
      5 of 17
    ","
      6 of 11
    ","
      2 of 2
    ","
      0 of 0
    "
"
                Hiroshi Izumi

            ","
                Record: 4-2-0
            ","
      --
    ","
      205 lbs.
    ","
      --
    ","
      Orthodox
    ","
      
        Jun 22, 1982
      
    ","

  Dynamite!! 2009

   ",,Hiroshi Izumi,,Katsuyori Shibata,"
      
      Heavyweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      32 of 102
    ","
      46 of 157
    ","
      31%
    ","
      29%
    ","
      86 of 171
    ","
      64 of 176
    ","
      1 of 2
    ","
      0 of 1
    ","
      50%
    ","
      0%
    ","
      0
    ","
      0
    ","
      1
    ","
      0
    ","
      0
    ","
      0
    ","
      27 of 95
    ","
      35 of 141
    ","
      0 of 0
    ","
      6 of 8
    ","
      5 of 7
    ","
      5 of 8
    ","
      18 of 59
    ","
      40 of 141
    ","
      4 of 16
    ","
      6 of 16
    ","
      10 of 27
    ","
      0 of 0
    "
