f1_name,f2_name,f1_str,f2_str,f1_tds,f2_tds,f1_subs,f2_subs,f1_pass,f2_pass,weight_class,method,finisher,round_num,time,event_name,event_date
"
              Anthony Smith
            ","
              Alexander Gustafsson
            ",49,72,0,1,1,0,1,1,"
        Light Heavyweight","
        
        

        SUB

      ","
        Rear Naked Choke
      ","

        4
      ","

        
        2:38
      ","
              UFC Fight Night: Gustafsson vs. Smith
            ","
      ,
      June 01, 2019
    "
"
              Aleksandar Rakic
            ","
              Jimi Manuwa
            ",2,2,0,0,0,0,0,0,"
        Light Heavyweight","
        
        

        KO/TKO

      ","
        Kick
      ","

        1
      ","

        
        0:47
      ","
              UFC Fight Night: Gustafsson vs. Smith
            ","
      ,
      June 01, 2019
    "
"
              Makwan Amirkhani
            ","
              Chris Fishgold
            ",9,16,1,0,1,0,2,0,"
        Featherweight","
        
        

        SUB

      ","
        Anaconda Choke
      ","

        2
      ","

        
        4:25
      ","
              UFC Fight Night: Gustafsson vs. Smith
            ","
      ,
      June 01, 2019
    "
"
              Christos Giagos
            ","
              Damir Hadzovic
            ",47,24,6,1,0,0,3,0,"
        Lightweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Gustafsson vs. Smith
            ","
      ,
      June 01, 2019
    "
"
              Daniel Teymur
            ","
              Sung Bin Jo
            ",40,21,1,1,0,1,0,0,"
        Featherweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Gustafsson vs. Smith
            ","
      ,
      June 01, 2019
    "
"
              Sergey Khandozhko
            ","
              Rostem Akman
            ",60,39,1,2,0,0,1,1,"
        Welterweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Gustafsson vs. Smith
            ","
      ,
      June 01, 2019
    "
"
              Lina Lansberg
            ","
              Tonya Evinger
            ",50,6,1,1,0,0,2,2,"
        Women's Bantamweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Gustafsson vs. Smith
            ","
      ,
      June 01, 2019
    "
"
              Leonardo Santos
            ","
              Stevie Ray
            ",12,2,0,0,0,0,0,0,"
        Lightweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        1
      ","

        
        2:17
      ","
              UFC Fight Night: Gustafsson vs. Smith
            ","
      ,
      June 01, 2019
    "
"
              Frank Camacho
            ","
              Nick Hein
            ",100,37,0,1,0,0,0,0,"
        Lightweight","
        
        

        KO/TKO

      ","
        Punches
      ","

        2
      ","

        
        4:56
      ","
              UFC Fight Night: Gustafsson vs. Smith
            ","
      ,
      June 01, 2019
    "
"
              Bea Malecki
            ","
              Duda Santana
            ",19,42,0,3,2,0,1,0,"
        Women's Bantamweight","
        
        

        SUB

      ","
        Rear Naked Choke
      ","

        2
      ","

        
        1:59
      ","
              UFC Fight Night: Gustafsson vs. Smith
            ","
      ,
      June 01, 2019
    "
"
              Devin Clark
            ","
              Darko Stosic
            ",40,26,2,1,0,0,0,1,"
        Light Heavyweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Gustafsson vs. Smith
            ","
      ,
      June 01, 2019
    "
"
              Joel Alvarez
            ","
              Danilo Belluardo
            ",19,13,0,2,0,0,1,2,"
        Lightweight","
        
        

        KO/TKO

      ","
        Punches
      ","

        2
      ","

        
        2:22
      ","
              UFC Fight Night: Gustafsson vs. Smith
            ","
      ,
      June 01, 2019
    "
"
              Henry Cejudo
            ","
              Marlon Moraes
            ",90,57,1,0,1,0,1,0,"
        Bantamweight","
        
        

        KO/TKO

      ","
        Punches
      ","

        3
      ","

        
        4:51
      ","
              UFC 238: Cejudo vs. Moraes
            ","
      ,
      June 08, 2019
    "
"
              Valentina Shevchenko
            ","
              Jessica Eye
            ",8,2,2,0,1,0,3,0,"
        Women's Flyweight","
        
        

        KO/TKO

      ","
        Kick
      ","

        2
      ","

        
        0:26
      ","
              UFC 238: Cejudo vs. Moraes
            ","
      ,
      June 08, 2019
    "
"
              Tony Ferguson
            ","
              Donald Cerrone
            ",104,68,0,1,0,0,0,0,"
        Lightweight","
        
        

        KO/TKO

      ","
        
      ","

        2
      ","

        
        5:00
      ","
              UFC 238: Cejudo vs. Moraes
            ","
      ,
      June 08, 2019
    "
"
              Petr Yan
            ","
              Jimmie Rivera
            ",56,73,1,0,0,0,1,0,"
        Bantamweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 238: Cejudo vs. Moraes
            ","
      ,
      June 08, 2019
    "
"
              Blagoy Ivanov
            ","
              Tai Tuivasa
            ",73,64,2,0,0,0,0,0,"
        Heavyweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 238: Cejudo vs. Moraes
            ","
      ,
      June 08, 2019
    "
"
              Tatiana Suarez
            ","
              Nina Ansaroff
            ",75,48,4,0,0,0,2,0,"
        Women's Strawweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 238: Cejudo vs. Moraes
            ","
      ,
      June 08, 2019
    "
