name,record,height,weight,reach,stance,dob,slmp,str_acc,ssapm,str_def,td_avg,td_acc,td_def,sub_avg
"
                Hitomi Akano

            ","
                Record: 18-8-0
            ","
      ,
      5' 4""
    ","
      ,
      135 lbs.
    ","
      ,
      --
    ","
      ,
      Southpaw
    ","
      ,
      
        Jul 27, 1974
      
    ","
          ,

          0.59

        ","
          ,
          45%
        ","
          ,
          2.58
        ","
          ,
          55%
        ","
          ,
          0.00
        ","
          ,
          0%
        ","
          ,
          8%
        ","
          ,
          0.5
        "
"
                Mike Aina

            ","
                Record: 12-6-1 (1 NC)
            ","
      ,
      5' 9""
    ","
      ,
      155 lbs.
    ","
      ,
      --
    ","
      ,
      Orthodox
    ","
      ,
      
        --
      
    ","
          ,

          2.87

        ","
          ,
          33%
        ","
          ,
          6.33
        ","
          ,
          59%
        ","
          ,
          0.00
        ","
          ,
          0%
        ","
          ,
          71%
        ","
          ,
          0.0
        "
"
                Kevin Aguilar

            ","
                Record: 17-3-0
            ","
      ,
      5' 7""
    ","
      ,
      145 lbs.
    ","
      ,
      73""
    ","
      ,
      Orthodox
    ","
      ,
      
        Sep 07, 1988
      
    ","
          ,

          3.73

        ","
          ,
          36%
        ","
          ,
          4.44
        ","
          ,
          52%
        ","
          ,
          0.24
        ","
          ,
          50%
        ","
          ,
          86%
        ","
          ,
          0.0
        "
"
                Jessica Aguilar

            ","
                Record: 20-8-0
            ","
      ,
      5' 3""
    ","
      ,
      115 lbs.
    ","
      ,
      63""
    ","
      ,
      Orthodox
    ","
      ,
      
        May 08, 1982
      
    ","
          ,

          4.93

        ","
          ,
          50%
        ","
          ,
          7.19
        ","
          ,
          53%
        ","
          ,
          0.94
        ","
          ,
          25%
        ","
          ,
          50%
        ","
          ,
          0.2
        "
"
                Edwin Aguilar

            ","
                Record: 22-16-0 (1 NC)
            ","
      ,
      5' 10""
    ","
      ,
      185 lbs.
    ","
      ,
      --
    ","
      ,
      
    ","
      ,
      
        --
      
    ","
          ,

          0.00

        ","
          ,
          0%
        ","
          ,
          0.00
        ","
          ,
          0%
        ","
          ,
          0.00
        ","
          ,
          0%
        ","
          ,
          0%
        ","
          ,
          0.0
        "
"
                Marcelo Aguiar

            ","
                Record: 2-3-1
            ","
      ,
      5' 10""
    ","
      ,
      170 lbs.
    ","
      ,
      --
    ","
      ,
      Orthodox
    ","
      ,
      
        --
      
    ","
          ,

          0.00

        ","
          ,
          0%
        ","
          ,
          0.00
        ","
          ,
          0%
        ","
          ,
          0.00
        ","
          ,
          0%
        ","
          ,
          0%
        ","
          ,
          0.0
        "
"
                Mariya Agapova

            ","
                Record: 6-1-0
            ","
      ,
      5' 8""
    ","
      ,
      125 lbs.
    ","
      ,
      --
    ","
      ,
      Southpaw
    ","
      ,
      
        Apr 07, 1997
      
    ","
          ,

          2.60

        ","
          ,
          48%
        ","
          ,
          4.40
        ","
          ,
          47%
        ","
          ,
          0.00
        ","
          ,
          0%
        ","
          ,
          42%
        ","
          ,
          0.0
        "
"
                Nick Agallar

            ","
                Record: 24-6-0
            ","
      ,
      5' 8""
    ","
      ,
      155 lbs.
    ","
      ,
      --
    ","
      ,
      Orthodox
    ","
      ,
      
        Jan 13, 1979
      
    ","
          ,

          0.69

        ","
          ,
          11%
        ","
          ,
          4.56
        ","
          ,
          42%
        ","
          ,
          0.00
        ","
          ,
          0%
        ","
          ,
          0%
        ","
          ,
          0.0
        "
"
                Sam Adkins

            ","
                Record: 7-20-2
            ","
      ,
      6' 3""
    ","
      ,
      225 lbs.
    ","
      ,
      --
    ","
      ,
      Orthodox
    ","
      ,
      
        Apr 26, 1965
      
    ","
          ,

          0.00

        ","
          ,
          0%
        ","
          ,
          0.00
        ","
          ,
          0%
        ","
          ,
          0.00
        ","
          ,
          0%
        ","
          ,
          0%
        ","
          ,
          0.0
        "
"
                Israel Adesanya

            ","
                Record: 19-0-0
            ","
      ,
      6' 4""
    ","
      ,
      185 lbs.
    ","
      ,
      80""
    ","
      ,
      Switch
    ","
      ,
      
        Jul 22, 1989
      
    ","
          ,

          3.96

        ","
          ,
          48%
        ","
          ,
          2.40
        ","
          ,
          65%
        ","
          ,
          0.00
        ","
          ,
          0%
        ","
          ,
          86%
        ","
          ,
          0.3
        "
"
                Anthony Adams

            ","
                Record: 7-1-0
            ","
      ,
      6' 0""
    ","
      ,
      185 lbs.
    ","
      ,
      77""
    ","
      ,
      Orthodox
    ","
      ,
      
        Jan 13, 1988
      
    ","
          ,

          3.40

        ","
          ,
          47%
        ","
          ,
          5.60
        ","
          ,
          44%
        ","
          ,
          0.00
        ","
          ,
          0%
        ","
          ,
          0%
        ","
          ,
          0.0
        "
"
                Juan Adams

            ","
                Record: 5-3-0
            ","
      ,
      6' 5""
    ","
      ,
      265 lbs.
    ","
      ,
      80""
    ","
      ,
      Orthodox
    ","
      ,
      
        Jan 16, 1992
      
    ","
          ,

          7.09

        ","
          ,
          55%
        ","
          ,
          4.06
        ","
          ,
          34%
        ","
          ,
          0.91
        ","
          ,
          66%
        ","
          ,
          57%
        ","
          ,
          0.0
        "
"
                Scott Adams

            ","
                Record: 8-1-0
            ","
      ,
      6' 0""
    ","
      ,
      225 lbs.
    ","
      ,
      --
    ","
      ,
      Southpaw
    ","
      ,
      
        --
      
    ","
          ,

          0.00

        ","
          ,
          0%
        ","
          ,
          0.00
        ","
          ,
          0%
        ","
          ,
          0.00
        ","
          ,
          0%
        ","
          ,
          0%
        ","
          ,
          0.0
        "
