f1_name,f2_name,f1_str,f2_str,f1_tds,f2_tds,f1_subs,f2_subs,f1_pass,f2_pass,weight_class,method,finisher,round_num,time,user_agent
"
              Israel Adesanya
            ","
              Robert Whittaker
            ",40,32,0,0,0,0,0,0,"
        Middleweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        2
      ","

        
        3:33
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Dan Hooker
            ","
              Al Iaquinta
            ",98,37,0,0,0,0,2,0,"
        Lightweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Serghei Spivac
            ","
              Tai Tuivasa
            ",23,21,6,0,1,0,6,0,"
        Heavyweight","
        
        

        SUB

      ","
        Arm Triangle
      ","

        2
      ","

        
        3:14
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Dhiego Lima
            ","
              Luke Jumeau
            ",32,24,2,0,0,0,0,0,"
        Welterweight","
        
        

        S-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Yorgan De Castro
            ","
              Justin Tafa
            ",4,6,0,0,0,0,0,0,"
        Heavyweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        1
      ","

        
        2:10
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Jake Matthews
            ","
              Rostem Akman
            ",59,15,0,0,0,0,0,0,"
        Welterweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Callan Potter
            ","
              Maki Pitolo
            ",48,60,3,0,0,1,4,1,"
        Welterweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Joanna Jedrzejczyk
            ","
              Michelle Waterson
            ",180,58,3,1,1,1,0,1,"
        Women's Strawweight","
        
        

        U-DEC

      ","
        
      ","

        5
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Cub Swanson
            ","
              Kron Gracie
            ",135,86,0,0,0,0,0,0,"
        Featherweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Niko Price
            ","
              James Vick
            ",11,9,0,0,0,0,1,0,"
        Welterweight","
        
        

        KO/TKO

      ","
        Kick
      ","

        1
      ","

        
        1:44
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Amanda Ribas
            ","
              Mackenzie Dern
            ",74,20,2,0,0,0,0,0,"
        Women's Strawweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
